,day_of_week,NEIGHBORHOOD_ID,TIME,GEO_LAT,GEO_LON
236,Thursday,cbd,12:00:00,39.744601,-104.9959286
237,Tuesday,civic-center,08:00:00,39.737154,-104.9923126
238,Thursday,cheesman-park,12:00:00,39.7353338,-104.9626141
239,Friday,cherry-creek,12:00:00,39.7203581,-104.9572079
240,Wednesday,congress-park,12:00:00,39.7269077,-104.9558702
241,Wednesday,union-station,12:00:00,39.7495125,-104.9972839
242,Friday,marston,12:00:00,39.6179048,-105.0906723
243,Friday,speer,12:00:00,39.7112795,-104.9859417
244,Monday,montbello,08:00:00,39.7963973,-104.8416931
245,Saturday,mar-lee,04:00:00,39.6877319,-105.0528418
246,Saturday,montbello,08:00:00,39.796827,-104.8206738
247,Thursday,overland,16:00:00,39.6958255,-104.9889299
248,Thursday,union-station,12:00:00,39.7524728,-104.9994109
249,Tuesday,congress-park,12:00:00,39.7269077,-104.9558702
250,Friday,hilltop,12:00:00,39.7140129,-104.9354421
251,Friday,cheesman-park,08:00:00,39.7336973,-104.9601554
252,Tuesday,stapleton,08:00:00,39.7983897,-104.9033973
253,Thursday,overland,12:00:00,39.6799625,-104.9951599
254,Wednesday,south-park-hill,08:00:00,39.7424979,-104.9371437
255,Tuesday,ruby-hill,12:00:00,39.6911036,-105.0242788
256,Wednesday,virginia-village,16:00:00,39.6795037,-104.9240127
257,Monday,hale,12:00:00,39.7299876,-104.9359784
258,Friday,hampden,08:00:00,39.6555768,-104.8677119
259,Wednesday,highland,12:00:00,39.7614565,-105.0248899
260,Wednesday,hampden-south,08:00:00,39.6436118,-104.899524
261,Wednesday,civic-center,12:00:00,39.7333879,-104.9892429
262,Wednesday,auraria,08:00:00,39.7462505,-105.0022825
263,Wednesday,barnum,12:00:00,39.7131709,-105.0340358
264,Tuesday,harvey-park-south,08:00:00,39.6606694,-105.0367747
265,Monday,hampden-south,08:00:00,39.6321772,-104.8909762
266,Friday,dia,04:00:00,39.8318947,-104.7008155
267,Monday,windsor,04:00:00,39.7072266,-104.8793384
268,Friday,montbello,12:00:00,39.7805393,-104.8424113
269,Thursday,hampden,12:00:00,39.6536735,-104.8936204
270,Thursday,hampden-south,12:00:00,39.6527803,-104.8823661
271,Tuesday,stapleton,16:00:00,39.7679608,-104.8424617
272,Thursday,north-park-hill,16:00:00,39.7559823,-104.9325006
273,Thursday,city-park-west,12:00:00,39.7410216,-104.9631323
274,Friday,dia,12:00:00,39.8367708,-104.7009023
275,Sunday,speer,12:00:00,39.7169152,-104.9871197
276,Wednesday,northeast-park-hill,12:00:00,39.7633303,-104.9305771
277,Monday,lincoln-park,08:00:00,39.7280757,-104.9904797
278,Tuesday,hampden-south,08:00:00,39.6499735,-104.8832182
279,Tuesday,gateway-green-valley-ranch,08:00:00,39.7941336,-104.7359585
